Number,Word,Count
30,by,1490548
31,she,1484869
32,or,1379320
33,as,1296879
34,what,1181023
64,out,678603
65,into,668172
66,just,677711
67,see,663645
68,him,677707
69,your,659622
70,come,628254
71,could,617932
72,now,605997
73,than,579757
74,like,568850
75,other,547799
76,how,538893
77,then,543977
78,its,539719
79,our,525107
80,two,511027
81,more,517536
82,these,513864
83,want,514972
84,way,470401
85,look,491707
86,first,463566
87,also,464606
88,new,435993
89,because,438539
90,day,432773
91,more,420170
92,use,420781
93,no,402222
94,man,409760
95,find,395203
96,here,412315
97,thing,400724
98,give,384503
99,many,385348
100,well,411776
101,only,379574
102,those,378007
103,tell,388155
104,one,369553
105,very,391821
106,her,397950
107,even,361067
108,back,367844
109,any,348100
110,good,353973
111,woman,341422
112,through,340921
113,us,351088
114,life,333085
115,child,333849
116,there,333433
117,work,318210
118,down,329409
119,may,324569
120,after,311902
121,should,310265
122,call,308050
123,world,303506
124,over,300349
125,school,304183
126,still,296953
127,try,294023
128,in,285035
129,as,281483
130,last,289843
131,ask,284632
132,need,276744
133,too,280396
134,feel,275214
135,three,266744
136,when,268219
137,state,272193
138,never,262584
139,become,259102
140,between,264158
141,high,255936
142,really,263414
143,something,254910
144,most,246360
145,another,240646
146,much,244507
147,family,243267
148,own,240452
149,out,242443
150,leave,240482
151,put,237480
152,old,236577
153,while,234555
154,mean,242198
155,on,236980
156,keep,231760
157,student,255047
158,why,235442
159,let,240300
160,great,225005
161,same,222836
162,big,227169
163,group,229435
164,begin,218617
165,seem,219627
166,country,223138
167,help,216082
168,talk,229429
169,where,213744
170,turn,221392
171,problem,217728
172,every,212739
173,start,213952
174,hand,225247
175,might,209059
176,American,214968
177,show,208037
178,part,207861
179,about,208550
180,against,204379
181,place,202427
182,over,208260
183,such,207065
184,again,206895
185,few,197266
186,case,200773
187,most,197086
188,week,199268
189,company,203345
190,where,194427
191,system,200175
192,each,196522
193,right,205250
194,program,195985
195,hear,196070
196,so,191893
197,question,192070
198,during,190729
199,work,187533
200,play,188328
201,government,191314
202,run,187325
203,small,185463
204,number,186005
205,off,183854
206,always,179474
207,move,179388
208,like,182341
209,night,184511
210,live,176144
211,Mr,188555
212,point,177481
213,believe,178397
214,hold,177368
215,today,183724
216,bring,174366
217,happen,182714
218,next,176306
219,without,172448
220,before,172769
221,large,175611
222,all,177317
223,million,
244,job,154743
245,word,152891
246,though,152182
247,business,154468
248,issue,156417
249,side,152559
250,kind,155032
251,four,150646
252,head,160131
253,far,148621
254,black,150718
255,long,149050
256,both,146338
257,little,149658
258,house,149251
259,yes,157364
260,after,142289
261,since,141264
262,long,142007
263,provide,150879
264,service,146122
265,around,143766
266,friend,142697
267,important,144194
268,father,145051
269,sit,147185
270,away,144713
271,until,140819
272,power,141357
273,hour,138955
274,game,146311
275,often,140731
276,yet,135484
277,line,135986
278,political,144437
279,end,134104
280,among,138192
281,ever,135774
282,stand,140937
283,bad,134910
284,lose,134102
285,however,142282
286,member,134731
287,pay,133133
288,law,133706
289,meet,128737
290,car,133571
291,city,132684
292,almost,127907
293,include,133563
294,continue,126029
295,set,127369
296,later,126495
297,community,133057
298,much,126029
299,name,127139
300,five,125571
301,once,126203
302,white,126760
303,least,123961
304,president,134203
305,learn,124346
306,real,124187
307,change,123183
308,team,131489
309,minute,126660
310,best,124850
311,several,124039
312,idea,122140
313,kid,126428
314,body,125165
315,information,127331
316,nothing,126717
317,ago,125252
318,right,126278
319,lead,122691
320,social,132899
321,understand,121354
322,whether,121921
323,back,125006
324,watch,124976
325,together,119186
326,follow,119425
327,around,122789
328,parent,119610
329,only,117700
330,stop,121481
331,face,127291
332,anything,120292
333,create,119419
334,public,119825
335,already,115220
336,speak,117358
337,others,115771
338,read,114094
339,level,121704
340,allow,114892
341,add,117842
342,office,114791
343,spend,114569
344,door,124993
345,health,117762
346,person,113650
347,art,117851
348,sure,116186
349,such,119125
350,war,117804
351,history,114904
352,party,112962
353,within,114599
354,grow,110020
355,result,116277
356,open,111857
357,change,112426
358,morning,114002
359,walk,113787
360,reason,106863
361,low,108990
362,win,111478
363,research,114802
364,girl,110409
365,guy,110409
366,early,108171
367,food,107728
368,before,107448
369,moment,109720
370,himself,109288
371,air,105932
372,teacher,116100
373,force,108005
374,offer,106473
375,enough,105880
376,both,106361
377,education,113731
378,across,105559
379,although,107925
388,off,104122
389,policy,107601
390,everything,103591
391,love,103681
392,process,107341
393,music,102657
394,including,103650
395,consider,101987
396,appear,100671
397,actually,105155
398,buy,101105
399,probably,99754
400,human,101224
401,wait,102463
402,serve,99660
403,market,100435
404,die,98376
405,send,96613
406,expect,95566
407,home,97937
408,sense,95896
409,build,96651
410,stay,96933
411,fall,96908
412,oh,103613
413,nation,97212
414,plan,95824
415,cut,96012
416,college,97038
417,interest,96620
418,death,93222
419,course,96224
420,someone,95608
421,experience,98106
422,behind,95047
